country,code,year,grnGasEm100K,pop10M
Canada,CAN,1990,6.0869,2.7791
China,CHN,1990,38.9268,113.5185
Germany,DEU,1990,12.5607,7.9433
France,FRA,1990,5.5469,5.8513
United Kingdom,GBR,1990,7.7724,5.7248
India,IND,1990,13.8737,87.0602
Japan,JPN,1990,13.0468,12.3537
Mexico,MEX,1990,4.9415,8.5609
United States,USA,1990,61.3609,24.9623
Brazil,BRA,1991,15.6996,15.2917
Canada,CAN,1991,6.2615,2.8172
China,CHN,1991,40.3521,115.0780
Germany,DEU,1991,12.1902,8.0014
France,FRA,1991,5.8097,5.8559
United Kingdom,GBR,1991,7.8264,5.7425
India,IND,1991,14.4327,88.8514
Japan,JPN,1991,13.1893,12.3921
Mexico,MEX,1991,5.0517,8.7347
United States,USA,1991,60.7364,25.2981
Brazil,BRA,1992,16.4918,15.5379
Canada,CAN,1992,6.1867,2.8520
China,CHN,1992,41.7249,116.4970
Germany,DEU,1992,11.5880,8.0625
France,FRA,1992,5.6401,5.8851
United Kingdom,GBR,1992,7.6102,5.7580
India,IND,1992,14.8642,90.6461
Japan,JPN,1992,13.3064,12.4229
Mexico,MEX,1992,4.9465,8.9110
United States,USA,1992,61.3750,25.6514
Brazil,BRA,1993,17.7264,15.7812
Canada,CAN,1993,6.5559,2.8833
China,CHN,1993,43.9829,117.8440
Germany,DEU,1993,11.4763,8.1156
France,FRA,1993,5.4109,5.9107
United Kingdom,GBR,1993,7.3358,5.7719
India,IND,1993,15.2173,92.4476
Japan,JPN,1993,13.3307,12.4536
Mexico,MEX,1993,5.0212,9.0887
United States,USA,1993,62.8270,25.9919
Brazil,BRA,1994,14.5545,16.0261
Canada,CAN,1994,8.0722,2.9112
China,CHN,1994,46.1349,119.1835
Germany,DEU,1994,11.3594,8.1438
France,FRA,1994,5.3814,5.9327
United Kingdom,GBR,1994,7.2868,5.7866
India,IND,1994,15.8103,94.2604
Japan,JPN,1994,13.8584,12.4961
Mexico,MEX,1994,5.2023,9.2664
United States,USA,1994,63.7498,26.3126
Brazil,BRA,1995,15.7445,16.2755
Canada,CAN,1995,8.3603,2.9354
China,CHN,1995,50.4235,120.4855
Germany,DEU,1995,11.3172,8.1678
France,FRA,1995,5.4301,5.9542
United Kingdom,GBR,1995,7.2834,5.8019
India,IND,1995,16.5150,96.0875
Japan,JPN,1995,14.2164,12.5439
Mexico,MEX,1995,5.1596,9.4427
United States,USA,1995,63.6530,26.6278
Brazil,BRA,1996,16.1376,16.5303
Canada,CAN,1996,6.9876,2.9672
China,CHN,1996,51.8188,121.7550
Germany,DEU,1996,11.5314,8.1915
France,FRA,1996,5.7253,5.9753
United Kingdom,GBR,1996,7.4436,5.8167
India,IND,1996,17.0884,97.9290
Japan,JPN,1996,14.2411,12.5757
Mexico,MEX,1996,5.3280,9.6182
United States,USA,1996,65.7771,26.9394
Brazil,BRA,1997,16.4741,16.7894
Canada,CAN,1997,6.9007,2.9987
China,CHN,1997,51.1371,123.0075
Germany,DEU,1997,11.2292,8.2035
France,FRA,1997,5.6522,5.9965
United Kingdom,GBR,1997,7.1619,5.8317
India,IND,1997,17.6154,99.7817
Japan,JPN,1997,14.1440,12.6057
Mexico,MEX,1997,5.3914,9.7926
United States,USA,1997,67.2441,27.2657
Brazil,BRA,1998,22.6373,17.0516
Canada,CAN,1998,11.2909,3.0248
China,CHN,1998,51.4140,124.1935
Germany,DEU,1998,10.6040,8.2047
France,FRA,1998,5.7785,6.0186
United Kingdom,GBR,1998,7.0517,5.8487
India,IND,1998,17.6897,101.6403
Japan,JPN,1998,13.7136,12.6400
Mexico,MEX,1998,6.9232,9.9632
United States,USA,1998,67.4902,27.5854
Brazil,BRA,1999,15.9586,17.3153
Canada,CAN,1999,8.2159,3.0499
China,CHN,1999,50.7929,125.2735
Germany,DEU,1999,10.2039,8.2100
France,FRA,1999,5.6370,6.0497
United Kingdom,GBR,1999,6.8010,5.8682
India,IND,1999,19.5604,103.4977
Japan,JPN,1999,13.9901,12.6631
Mexico,MEX,1999,5.5385,10.1267
United States,USA,1999,68.0814,27.9040
Brazil,BRA,2000,12.2263,17.5786
Canada,CAN,2000,7.6064,3.0770
China,CHN,2000,50.8233,126.2645
Germany,DEU,2000,10.1630,8.2212
France,FRA,2000,5.5992,6.0912
United Kingdom,GBR,2000,6.7390,5.8893
India,IND,2000,18.8519,105.3481
Japan,JPN,2000,14.0619,12.6843
Mexico,MEX,2000,5.7649,10.2809
United States,USA,2000,69.6912,28.2162
Brazil,BRA,2001,12.7745,17.8419
Canada,CAN,2001,7.1853,3.1082
China,CHN,2001,51.4552,127.1850
Germany,DEU,2001,10.2598,8.2350
France,FRA,2001,5.6520,6.1357
United Kingdom,GBR,2001,6.8308,5.9120
India,IND,2001,18.7560,107.1888
Japan,JPN,2001,13.8795,12.7149
Mexico,MEX,2001,5.4796,10.4240
United States,USA,2001,68.2124,28.4969
Brazil,BRA,2002,15.9183,18.1046
Canada,CAN,2002,9.0869,3.1362
China,CHN,2002,54.7491,128.0400
Germany,DEU,2002,10.0740,8.2488
France,FRA,2002,5.5785,6.1805
United Kingdom,GBR,2002,6.6157,5.9370
India,IND,2002,19.1729,109.0189
Japan,JPN,2002,14.2245,12.7445
Mexico,MEX,2002,5.6768,10.5578
United States,USA,2002,69.8179,28.7625
Brazil,BRA,2003,16.2455,18.3627
Canada,CAN,2003,9.5137,3.1676
China,CHN,2003,62.2696,128.8400
Germany,DEU,2003,10.1749,8.2534
France,FRA,2003,5.6461,6.2245
United Kingdom,GBR,2003,6.7099,5.9648
India,IND,2003,19.7645,110.8370
Japan,JPN,2003,14.2810,12.7718
Mexico,MEX,2003,6.0169,10.6888
United States,USA,2003,69.9126,29.0108
